2026-07-13 18:36:00.379 CHROME | editingModelTest_alerts | waitAndClick | [[ChromeDriver: chrome on mac (4c7d118605e735fb4eba399b28701c2d)] -> xpath: //*[@id="root"]/div/div/div/div/aside[2]/div/div/div[2]/div/div/div[2]/div[2]/div/div[2]/div[2]/div/div/p] | CLICK_ACTION | 1024 ms
2026-07-13 18:36:03.152 CHROME | editingModelTest_alerts | waitAndType | [[ChromeDriver: chrome on mac (4c7d118605e735fb4eba399b28701c2d)] -> xpath: //*[@id="root"]/div/div/div/div/aside[2]/div/div/div[2]/div/div/div[2]/div[2]/div/div[2]/div[2]/div/div/p] | TYPE_ACTION | 2766 ms
2026-07-13 18:36:11.437 CHROME | editingModelTest_alerts | waitAndJsClick | Proxy element for: DefaultElementLocator 'By.xpath: //*[@id="root"]/div/div/div/div/aside[2]/div/div/div[2]/div/div/div[2]/div[2]/div/div[3]/button[1]' | JS_CLICK_ACTION | 252 ms
2026-07-13 18:36:11.941 CHROME | editingModelTest_instruction | click | [[ChromeDriver: chrome on mac (4c7d118605e735fb4eba399b28701c2d)] -> xpath: //*[@id="root"]/div/header/div[1]/nav/button[1]] | CLICK_ACTION | 329 ms
2026-07-13 18:36:15.173 CHROME | editingModelTest_instruction | waitAndClick | [[ChromeDriver: chrome on mac (4c7d118605e735fb4eba399b28701c2d)] -> xpath: //*[@id="root"]/div/div/div/div/div[2]/div[2]/table/tbody/tr/td[2]/button] | CLICK_ACTION | 335 ms
2026-07-13 18:36:17.002 CHROME | editingModelTest_instruction | waitAndClick | [[ChromeDriver: chrome on mac (4c7d118605e735fb4eba399b28701c2d)] -> xpath: //*[@id="root"]/div/div/div/div/aside[1]/div[3]/div[2]/div[3]/div[1]/div[2]/div/span] | CLICK_ACTION | 1564 ms
2026-07-13 18:36:22.325 CHROME | editingModelTest_instruction | waitAndJsClick | [[ChromeDriver: chrome on mac (4c7d118605e735fb4eba399b28701c2d)] -> xpath: //button[normalize-space()='Add instruction']] | JS_CLICK_ACTION | 3198 ms
2026-07-13 18:36:24.489 CHROME | editingModelTest_instruction | waitAndType | [[ChromeDriver: chrome on mac (4c7d118605e735fb4eba399b28701c2d)] -> xpath: //*[@id="root"]/div/div/div/div/aside[2]/div/div/div[2]/div/div/div[4]/ol/li/div/div[2]/div[2]/div/div/p] | TYPE_ACTION | 2016 ms
2026-07-13 18:36:32.829 CHROME | editingModelTest_instruction | waitAndJsClick | Proxy element for: DefaultElementLocator 'By.xpath: //*[@id="root"]/div/div/div/div/aside[2]/div/div/div[2]/div/div/div[4]/ol/li/div/div[3]/button[1]' | JS_CLICK_ACTION | 275 ms
2026-07-13 18:36:33.391 CHROME | editingModelTest_setup | click | [[ChromeDriver: chrome on mac (4c7d118605e735fb4eba399b28701c2d)] -> xpath: //*[@id="root"]/div/header/div[1]/nav/button[1]] | CLICK_ACTION | 294 ms
2026-07-13 18:36:36.717 CHROME | editingModelTest_setup | waitAndClick | [[ChromeDriver: chrome on mac (4c7d118605e735fb4eba399b28701c2d)] -> xpath: //*[@id="root"]/div/div/div/div/div[2]/div[2]/table/tbody/tr/td[2]/button] | CLICK_ACTION | 894 ms
