2026-07-07 14:16:41.740 EDGE | newModelTest | waitAndClick | [[EdgeDriver: MicrosoftEdge on mac (5ec9a7d625445139426ed16093e7f9ba)] -> xpath: //*[@id="root"]/div/div/div/div/div[1]/div[2]/button] | CLICK_ACTION | 660 ms
2026-07-07 14:16:46.715 EDGE | newModelTest | waitAndClick | [[EdgeDriver: MicrosoftEdge on mac (5ec9a7d625445139426ed16093e7f9ba)] -> xpath: //*[@id="root"]/div/div/div/div/aside[1]/div[3]/div[1]/div/button[1]] | CLICK_ACTION | 4946 ms
2026-07-07 14:16:52.127 EDGE | newModelTest | waitAndClick | [[EdgeDriver: MicrosoftEdge on mac (5ec9a7d625445139426ed16093e7f9ba)] -> xpath: //*[@id="root"]/div/div/div/div/aside[1]/div[3]/div[1]/div/button[1]] | CLICK_ACTION | 121 ms
2026-07-07 14:16:57.306 EDGE | newModelTest | waitAndClick | [[EdgeDriver: MicrosoftEdge on mac (5ec9a7d625445139426ed16093e7f9ba)] -> xpath: //*[@id="root"]/div/div/div/div/aside[1]/div[3]/div[1]/div/button[1]] | CLICK_ACTION | 93 ms
2026-07-07 14:17:02.537 EDGE | newModelTest | click | [[EdgeDriver: MicrosoftEdge on mac (5ec9a7d625445139426ed16093e7f9ba)] -> xpath: (//span[contains(@class,'text-sm') and normalize-space()='node1'])[1]] | CLICK_ACTION | 132 ms
2026-07-07 14:20:15.947 EDGE | newModelTest | waitAndClick | Proxy element for: DefaultElementLocator 'By.xpath: //*[@id="tilesHolder"]/div[1]/div/div[1]/div' | CLICK_ACTION | 7924 ms
2026-07-07 14:20:16.576 EDGE | newModelTest | waitAndClick | [[EdgeDriver: MicrosoftEdge on mac (69da69ac8beacd6ec81ec5adb75b8f93)] -> xpath: //*[@id="root"]/div/div/div/div/div[1]/div[2]/button] | CLICK_ACTION | 598 ms
2026-07-07 14:20:21.459 EDGE | newModelTest | waitAndClick | [[EdgeDriver: MicrosoftEdge on mac (69da69ac8beacd6ec81ec5adb75b8f93)] -> xpath: //*[@id="root"]/div/div/div/div/aside[1]/div[3]/div[1]/div/button[1]] | CLICK_ACTION | 4864 ms
2026-07-07 14:20:24.868 EDGE | newModelTest | waitAndClick | [[EdgeDriver: MicrosoftEdge on mac (69da69ac8beacd6ec81ec5adb75b8f93)] -> xpath: //*[@id="root"]/div/div/div/div/aside[1]/div[3]/div[1]/div/button[1]] | CLICK_ACTION | 54 ms
2026-07-07 14:20:30.085 EDGE | newModelTest | waitAndClick | [[EdgeDriver: MicrosoftEdge on mac (69da69ac8beacd6ec81ec5adb75b8f93)] -> xpath: //*[@id="root"]/div/div/div/div/aside[1]/div[3]/div[1]/div/button[1]] | CLICK_ACTION | 57 ms
2026-07-07 14:20:35.314 EDGE | newModelTest | click | [[EdgeDriver: MicrosoftEdge on mac (69da69ac8beacd6ec81ec5adb75b8f93)] -> xpath: (//span[contains(@class,'text-sm') and normalize-space()='node1'])[1]] | CLICK_ACTION | 142 ms
2026-07-07 14:21:23.942 EDGE | newModelTest | waitAndClick | Proxy element for: DefaultElementLocator 'By.xpath: //*[@id="tilesHolder"]/div[1]/div/div[1]/div' | CLICK_ACTION | 7915 ms
2026-07-07 14:21:25.009 EDGE | newModelTest | waitAndClick | [[EdgeDriver: MicrosoftEdge on mac (18eb6b87e9ece77515f41a61f54872bf)] -> xpath: //*[@id="root"]/div/div/div/div/div[1]/div[2]/button] | CLICK_ACTION | 979 ms
2026-07-07 14:21:29.937 EDGE | newModelTest | waitAndClick | [[EdgeDriver: MicrosoftEdge on mac (18eb6b87e9ece77515f41a61f54872bf)] -> xpath: //*[@id="root"]/div/div/div/div/aside[1]/div[3]/div[1]/div/button[1]] | CLICK_ACTION | 4878 ms
2026-07-07 14:21:33.310 EDGE | newModelTest | waitAndClick | [[EdgeDriver: MicrosoftEdge on mac (18eb6b87e9ece77515f41a61f54872bf)] -> xpath: //*[@id="root"]/div/div/div/div/aside[1]/div[3]/div[1]/div/button[1]] | CLICK_ACTION | 65 ms
2026-07-07 14:21:38.676 EDGE | newModelTest | waitAndClick | [[EdgeDriver: MicrosoftEdge on mac (18eb6b87e9ece77515f41a61f54872bf)] -> xpath: //*[@id="root"]/div/div/div/div/aside[1]/div[3]/div[1]/div/button[1]] | CLICK_ACTION | 65 ms
2026-07-07 14:21:43.861 EDGE | newModelTest | click | [[EdgeDriver: MicrosoftEdge on mac (18eb6b87e9ece77515f41a61f54872bf)] -> xpath: (//span[contains(@class,'text-sm') and normalize-space()='node1'])[1]] | CLICK_ACTION | 121 ms
2026-07-07 14:22:57.958 EDGE | newModelTest | waitAndClick | Proxy element for: DefaultElementLocator 'By.xpath: //*[@id="tilesHolder"]/div[1]/div/div[1]/div' | CLICK_ACTION | 7812 ms
2026-07-07 14:22:58.910 EDGE | newModelTest | waitAndClick | [[EdgeDriver: MicrosoftEdge on mac (bcf7eee2177e5f7350d7c6a88a4af646)] -> xpath: //*[@id="root"]/div/div/div/div/div[1]/div[2]/button] | CLICK_ACTION | 869 ms
2026-07-07 14:23:03.625 EDGE | newModelTest | waitAndClick | [[EdgeDriver: MicrosoftEdge on mac (bcf7eee2177e5f7350d7c6a88a4af646)] -> xpath: //*[@id="root"]/div/div/div/div/aside[1]/div[3]/div[1]/div/button[1]] | CLICK_ACTION | 4703 ms
2026-07-07 14:23:07.148 EDGE | newModelTest | waitAndClick | [[EdgeDriver: MicrosoftEdge on mac (bcf7eee2177e5f7350d7c6a88a4af646)] -> xpath: //*[@id="root"]/div/div/div/div/aside[1]/div[3]/div[1]/div/button[1]] | CLICK_ACTION | 59 ms
2026-07-07 14:23:10.486 EDGE | newModelTest | waitAndClick | [[EdgeDriver: MicrosoftEdge on mac (bcf7eee2177e5f7350d7c6a88a4af646)] -> xpath: //*[@id="root"]/div/div/div/div/aside[1]/div[3]/div[1]/div/button[1]] | CLICK_ACTION | 243 ms
2026-07-07 14:23:13.654 EDGE | newModelTest | click | [[EdgeDriver: MicrosoftEdge on mac (bcf7eee2177e5f7350d7c6a88a4af646)] -> xpath: (//span[contains(@class,'text-sm') and normalize-space()='node1'])[1]] | CLICK_ACTION | 112 ms
2026-07-07 14:24:51.153 EDGE | newModelTest | waitAndClick | Proxy element for: DefaultElementLocator 'By.xpath: //*[@id="tilesHolder"]/div[1]/div/div[1]/div' | CLICK_ACTION | 8517 ms
2026-07-07 14:24:52.200 EDGE | newModelTest | waitAndClick | [[EdgeDriver: MicrosoftEdge on mac (1a3b2385a3e6e71095a5ecdd40111de7)] -> xpath: //*[@id="root"]/div/div/div/div/div[1]/div[2]/button] | CLICK_ACTION | 1037 ms
2026-07-07 14:24:57.023 EDGE | newModelTest | waitAndClick | [[EdgeDriver: MicrosoftEdge on mac (1a3b2385a3e6e71095a5ecdd40111de7)] -> xpath: //*[@id="root"]/div/div/div/div/aside[1]/div[3]/div[1]/div/button[1]] | CLICK_ACTION | 4799 ms
2026-07-07 14:25:02.426 EDGE | newModelTest | waitAndClick | [[EdgeDriver: MicrosoftEdge on mac (1a3b2385a3e6e71095a5ecdd40111de7)] -> xpath: //*[@id="root"]/div/div/div/div/aside[1]/div[3]/div[1]/div/button[1]] | CLICK_ACTION | 56 ms
2026-07-07 14:25:07.621 EDGE | newModelTest | waitAndClick | [[EdgeDriver: MicrosoftEdge on mac (1a3b2385a3e6e71095a5ecdd40111de7)] -> xpath: //*[@id="root"]/div/div/div/div/aside[1]/div[3]/div[1]/div/button[1]] | CLICK_ACTION | 106 ms
2026-07-07 14:25:12.885 EDGE | newModelTest | click | [[EdgeDriver: MicrosoftEdge on mac (1a3b2385a3e6e71095a5ecdd40111de7)] -> xpath: (//span[contains(@class,'text-sm') and normalize-space()='node1'])[1]] | CLICK_ACTION | 150 ms
2026-07-07 14:26:50.819 EDGE | newModelTest | waitAndClick | Proxy element for: DefaultElementLocator 'By.xpath: //*[@id="tilesHolder"]/div[1]/div/div[1]/div' | CLICK_ACTION | 6912 ms
2026-07-07 14:26:51.528 EDGE | newModelTest | waitAndClick | [[EdgeDriver: MicrosoftEdge on mac (75d6d92bc6405315fcb149202ae6c4a8)] -> xpath: //*[@id="root"]/div/div/div/div/div[1]/div[2]/button] | CLICK_ACTION | 693 ms
2026-07-07 14:26:56.318 EDGE | newModelTest | waitAndClick | [[EdgeDriver: MicrosoftEdge on mac (75d6d92bc6405315fcb149202ae6c4a8)] -> xpath: //*[@id="root"]/div/div/div/div/aside[1]/div[3]/div[1]/div/button[1]] | CLICK_ACTION | 4781 ms
2026-07-07 14:27:06.707 EDGE | newModelTest | waitAndClick | [[EdgeDriver: MicrosoftEdge on mac (75d6d92bc6405315fcb149202ae6c4a8)] -> xpath: //*[@id="root"]/div/div/div/div/aside[1]/div[3]/div[1]/div/button[1]] | CLICK_ACTION | 104 ms
2026-07-07 14:30:43.894 EDGE | newModelTest | waitAndClick | [[EdgeDriver: MicrosoftEdge on mac (444ecc6d8af613bdaf35576acc250de3)] -> xpath: //*[@id="root"]/div/div/div/div/div[1]/div[2]/button] | CLICK_ACTION | 10050 ms
2026-07-07 14:30:49.025 EDGE | newModelTest | waitAndClick | [[EdgeDriver: MicrosoftEdge on mac (444ecc6d8af613bdaf35576acc250de3)] -> xpath: //*[@id="root"]/div/div/div/div/aside[1]/div[3]/div[1]/div/button[1]] | CLICK_ACTION | 5107 ms
2026-07-07 14:30:59.672 EDGE | newModelTest | waitAndClick | [[EdgeDriver: MicrosoftEdge on mac (444ecc6d8af613bdaf35576acc250de3)] -> xpath: //*[@id="root"]/div/div/div/div/aside[1]/div[3]/div[1]/div/button[1]] | CLICK_ACTION | 61 ms
2026-07-07 14:34:32.218 EDGE | newModelTest | waitAndClick | [[EdgeDriver: MicrosoftEdge on mac (ee23cfde7c92afc7b70d5795dad87098)] -> xpath: //*[@id="root"]/div/div/div/div/div[1]/div[2]/button] | CLICK_ACTION | 841 ms
2026-07-07 14:34:39.637 EDGE | newModelTest | waitAndClick | [[EdgeDriver: MicrosoftEdge on mac (ee23cfde7c92afc7b70d5795dad87098)] -> xpath: //*[@id="root"]/div/div/div/div/aside[1]/div[3]/div[1]/div/button[1]] | CLICK_ACTION | 7294 ms
2026-07-07 14:34:50.372 EDGE | newModelTest | waitAndClick | [[EdgeDriver: MicrosoftEdge on mac (ee23cfde7c92afc7b70d5795dad87098)] -> xpath: //*[@id="root"]/div/div/div/div/aside[1]/div[3]/div[1]/div/button[1]] | CLICK_ACTION | 96 ms
2026-07-07 14:42:01.925 EDGE | newModelTest | waitAndClick | [[EdgeDriver: MicrosoftEdge on mac (d1b61b142e6f219d7176c0eb10f74e9a)] -> xpath: //*[@id="root"]/div/div/div/div/div[1]/div[2]/button] | CLICK_ACTION | 5906 ms
2026-07-07 14:42:03.387 EDGE | newModelTest | waitAndClick | [[EdgeDriver: MicrosoftEdge on mac (d1b61b142e6f219d7176c0eb10f74e9a)] -> xpath: //*[@id="root"]/div/div/div/div/aside[1]/div[3]/div[1]/div/button[1]] | CLICK_ACTION | 1414 ms
2026-07-07 14:42:08.986 EDGE | newModelTest | waitAndClick | [[EdgeDriver: MicrosoftEdge on mac (d1b61b142e6f219d7176c0eb10f74e9a)] -> xpath: //*[@id="root"]/div/div/div/div/aside[1]/div[3]/div[1]/div/button[1]] | CLICK_ACTION | 56 ms
2026-07-07 14:44:07.158 EDGE | newModelTest | waitAndClick | [[EdgeDriver: MicrosoftEdge on mac (8b44e70e423cd1d209186e269218531f)] -> xpath: //*[@id="root"]/div/div/div/div/div[1]/div[2]/button] | CLICK_ACTION | 6150 ms
2026-07-07 14:44:08.657 EDGE | newModelTest | waitAndClick | [[EdgeDriver: MicrosoftEdge on mac (8b44e70e423cd1d209186e269218531f)] -> xpath: //*[@id="root"]/div/div/div/div/aside[1]/div[3]/div[1]/div/button[1]] | CLICK_ACTION | 1490 ms
2026-07-07 14:44:14.215 EDGE | newModelTest | waitAndClick | [[EdgeDriver: MicrosoftEdge on mac (8b44e70e423cd1d209186e269218531f)] -> xpath: //*[@id="root"]/div/div/div/div/aside[1]/div[3]/div[1]/div/button[1]] | CLICK_ACTION | 163 ms
2026-07-07 14:44:24.712 EDGE | newModelTest | waitAndClick | [[EdgeDriver: MicrosoftEdge on mac (8b44e70e423cd1d209186e269218531f)] -> xpath: //*[@id="root"]/div/div/div/div/aside[1]/div[3]/div[1]/div/button[1]] | CLICK_ACTION | 84 ms
